id	Components_pub	Components
SIGNOR-C102	P25490	SIGNOR-C77,P25490
SIGNOR-C117	P51825;Q03111;Q9UHB7	Q9UHB7,P51825,SIGNOR-C238,Q03111
SIGNOR-C120	P23458	P23458,SIGNOR-C118
SIGNOR-C149	P00738	SIGNOR-C209,P00738
SIGNOR-C153	P01848;P01850	P01848,SIGNOR-C432,P01850
SIGNOR-C215	Q13485	Q13485,SIGNOR-PF35
SIGNOR-C246	P20338;P61026;P61106;Q15075;Q9UL25;Q9UL26;P20339;Q9H1K0	Q9UL25,P20338,P20339,Q15075,Q9H1K0,P61026,P61106,Q9UL26,CHEBI:17283
SIGNOR-C249	Q00610;P09496;P09497;P53675	P09496,P53675,SIGNOR-C245,CHEBI:18348,Q00610,P09497
SIGNOR-C250	P09497;Q00610;P53675;P09496	P09496,P53675,Q00610,P09497,SIGNOR-C445,CHEBI:18348,SIGNOR-C247
SIGNOR-C251	P09497;Q00610;P53675;P09496	Q00610,P09496,CHEBI:17526,SIGNOR-C248,P09497,P53675
SIGNOR-C255	Q9NPD3;Q01780;Q15024;Q5RKV6;Q9Y3B2;Q9NQT5;Q13868;Q06265;Q9NQT4;Q96B26;Q8TF46	Q96B26,Q9NQT5,Q13868,Q06265,Q9NQT4,Q8TF46,CHEBI:18420,Q01780,Q15024,Q5RKV6,Q9NPD3,Q9Y3B2
SIGNOR-C262	P09884;Q14181	SIGNOR-C261,P09884,Q14181
SIGNOR-C295	P46736;Q9NXR7;P51587;Q06609	SIGNOR-C297,Q06609,Q9NXR7,P51587,P46736
SIGNOR-C296	Q6UWZ7;Q9NXR7;Q9NWV8;P46736;Q96RL1	Q9NXR7,P46736,SIGNOR-C297,Q9NWV8,Q6UWZ7,Q96RL1
SIGNOR-C298	Q92547;Q9BX63	Q9BX63,CHEBI:49883,Q92547,SIGNOR-C297
SIGNOR-C299	Q99708	CHEBI:29035,CHEBI:29105,CHEBI:4705,Q99708,SIGNOR-C147,SIGNOR-C297
SIGNOR-C304	Q9UQE7;O60216;Q14683;Q8WVM7	O60216,Q9UQE7,Q14683,SIGNOR-PF52,Q8WVM7
SIGNOR-C306	Q9NYB0;P54274;Q9BSI4;Q15554	P54274,Q9NYB0,Q9BSI4,SIGNOR-C64,Q15554
SIGNOR-C309	P09871;P00736	P09871,P00736,SIGNOR-C308
SIGNOR-C324	P06899;P04908;P68431;P62805	P68431,P04908,SIGNOR-PF70,P62805,P06899
SIGNOR-C371	P62805	P62805,SIGNOR-PF68,SIGNOR-PF69,SIGNOR-PF70
SIGNOR-C385	Q13813	Q13813,SIGNOR-PF73
SIGNOR-C400	O14521;Q99643;P21912;P31040	CHEBI:21137,Q99643,CHEBI:49601,CHEBI:49883,P21912,P31040,O14521
SIGNOR-C425	P61769	P61769,SIGNOR-PF87
SIGNOR-C446	Q8NEZ4	Q8NEZ4,SIGNOR-C87
SIGNOR-C447	O75533;O60264;Q9BQG0;P35659;Q03468;Q9UIG0;Q9NR30;O00159	Q9NR30,O00159,Q9UIG0,Q03468,P35659,Q9BQG0,O60264,CHEBI:18111,O75533
SIGNOR-C452	P05198;P20042;P41091	CHEBI:15996,P41091,CHEBI:16635,P05198,P20042
SIGNOR-C453	P41567;P55010	SIGNOR-C286,SIGNOR-C401,SIGNOR-C452,P41567,P55010
SIGNOR-C454	P23588	P23588,CHEBI:33699,SIGNOR-C453,SIGNOR-C44
SIGNOR-C457	Q13889;Q92759;Q6P1K8;Q6ZYL4;P32780;P19447;Q13888;P18074	P18074,SIGNOR-C456,Q13889,Q92759,Q6P1K8,Q6ZYL4,P32780,P19447,Q13888
SIGNOR-C463	P38117;P13804	CHEBI:456215,CHEBI:57692,P38117,P13804
SIGNOR-C493	P68104	CHEBI:15996,CHEBI:2651,P68104
SIGNOR-C494	P62495;P15170	P15170,CHEBI:15996,P62495
SIGNOR-C495	P22314	P22314,SIGNOR-PF89
SIGNOR-C496	A0AVT1	A0AVT1,SIGNOR-PF89
SIGNOR-C516	L0R819;P19388;Q96MX6	SIGNOR-C514,L0R819,Q96MX6,P19388,SIGNOR-C515
SIGNOR-C87	Q9C005;Q9UPS6;Q15291	SIGNOR-C352,Q9C005,Q15291,Q9UPS6
SIGNOR-C88	O14686	O14686,SIGNOR-C87
SIGNOR-C89	Q03164	Q03164,SIGNOR-C87
SIGNOR-C90	P23759	SIGNOR-C89,P23759
SIGNOR-C91	P23759	SIGNOR-C88,P23759
SIGNOR-C93	P40424;P15172	P15172,P40424,SIGNOR-C92
SIGNOR-C94	Q14814;P15173	P15173,SIGNOR-C92,Q14814
SIGNOR-C97	P46531;Q06330	Q06330,P46531,SIGNOR-PF30
