SIGXOR0AAAM	Aspartate and asparagine metabolism
SIGXOR0AC	Adipogenesis
SIGXOR0AML	Acute Myeloid Leukemia
SIGXOR0AML10ETO	AML1-ETO in AML
SIGXOR0AML0DXMT3A	DNMT3A in AML
SIGXOR0AML0FLT3	FLT3 in AML
SIGXOR0AML0KIT	KIT in AML
SIGXOR0AML_miRXA	miRNA in AML
SIGXOR0AML0MLL	MLL fusion protein in AML
SIGXOR0AML_TF	HaematopoiesisTranscriptionalControl
SIGXOR0AML_TRIXLETS	AML_TRIPLETS
SIGXOR0AMXK	AMPK Signaling
SIGXOR0Autophagy	Autophagy
SIGXOR0B0cell	B-cell activation
SIGXOR0CB	Carnitine biosynthesis
SIGXOR0CC	Circadian clock
SIGXOR0CM	Catecholamine metabolism
SIGXOR0CRC	Colorectal Carcinoma
SIGXOR0CS	Complement Signaling
SIGXOR0DD	DNA repair in cancer
SIGXOR0DS	Dopaminergic Synapse
SIGXOR0EGF	EGFR Signaling
SIGXOR0EI	EBV infection
SIGXOR0FapIXS	FAP: Insulin-mediated adipogenesis
SIGXOR0FattyAcidSynthesis	Fatty Acid Synthesis
SIGXOR0FIIA	FLT3-ITD in AML
SIGXOR0FIS	FLT3-ITD signaling
SIGXOR0FSGS	Focal segmental glomerulosclerosis
SIGXOR0GBM	Glioblastoma Multiforme
SIGXOR0GCR	Glucocorticoid receptor Signaling
SIGXOR0Glycolysis	Glycolysis and Gluconeogenesis
SIGXOR0GX	Glutamine metabolism
SIGXOR0GS	Glutamatergic synapse
SIGXOR0Hedgehog	Sonic Hedgehog
SIGXOR0HT	Hepatocellular Tumor
SIGXOR0IL1R	IL1 Signaling
SIGXOR0Inflammosome	Inflammosome Activation
SIGXOR0IXSR	Insulin Signaling
SIGXOR0IOA	Inhibition of Apoptosis
SIGXOR0IoT	Initiation of Translation
SIGXOR0IS	Integrin Signaling
SIGXOR0LR	Leptin Signaling
SIGXOR0MC	mTOR in cancer
SIGXOR0MCAXO	Mitochondrial Control of Apoptosis
SIGXOR0MD	Mitochondrial dynamics in T cell exhaustion
SIGXOR0MM	Malignant Melanoma
SIGXOR0MS	MTOR Signaling
SIGXOR0XFKBC	NF-KB Canonical
SIGXOR0XFKBXC	NF-KB Non Canonical
SIGXOR0XM	Nucleotide Biosynthesis
SIGXOR0XOTCH	NOTCH Signaling
SIGXOR0XOTCH_Myogenesis	NOTCH Signaling and Myogenesis
SIGXOR0XXM10FLT30DXMT3A	Triple mutant AML
SIGXOR0XR	Neurotransmitters release
SIGXOR0XS	Noonan syndrome
SIGXOR0XSCLCX	Non-small-cell lung cancer (NSCLC)
SIGXOR0OS	Oxytocin signaling
SIGXOR0X38	P38 Signaling
SIGXOR0X38_Myogenesis	P38 Signaling and Myogenesis
SIGXOR0XC	Prostate Cancer
SIGXOR0XDAX	Pancreatic ductal adenocarcinoma (PDA)
SIGXOR0XI3K0AKT	PI3K/AKT Signaling
SIGXOR0XXX	Pentose phosphate pathway
SIGXOR0XU	Ubiquitin activation
SIGXOR0RAM	Retinoic Acid Metabolism
SIGXOR0RAS	Retinoic acid Signaling
SIGXOR0ReS	Rett syndrome
SIGXOR0SAXK0JXK	SAPK/JNK Signaling
SIGXOR0SARS0COV0AXOXTOSIS	SARS-COV APOPTOSIS
SIGXOR0SARS0CoV0MAXK0Xathway	SARS-CoV MAPK PERTURBATION
SIGXOR0SCIR	SARS-CoV INFLAMMATORY RESPONSE
SIGXOR0SCISOVG	SARS-CoV INNATE RESPONSE TO dsRNA
SIGXOR0SCUX	SARS-CoV ER STRESS
SIGXOR0SHB	Sex Hormone Biosynthesis
SIGXOR0TA	TNF-alpha Signaling
SIGXOR0TCA	T cell activation
SIGXOR0TEAT	Translation elongation and termination
SIGXOR0THM	Thyroid Hormone Metabolism
SIGXOR0TI	Transcription initiation
SIGXOR0TLR	Toll like receptors
SIGXOR0TSC	TGFb in cancer
SIGXOR0VEGF	VEGF Signaling
SIGXOR0VKC	Vitamin-K cycle
SIGXOR0WC	Wnt in cancer
SIGXOR0WXT	WNT Signaling
SIGXOR0WXT_Myogenesis	WNT Signaling and Myogenesis
